timestamp,user,role,action,entity,details,severity,ipAddress,location,device
"2026-02-08T20:54:29.628Z","Vikram Reddy","Manager","CREATE","MEMBER","New member registration: John Doe","low","192.168.120.99","Mumbai, India","Firefox 121 on Android 14"
"2026-02-08T17:17:01.073Z","Neha Singh","Staff","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.41.70","Chennai, India","Safari 17 on iOS 17"
"2026-02-08T17:13:51.166Z","Amit Kumar","Trainer","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.143.212","Bangalore, India","Firefox 121 on Android 14"
"2026-02-08T17:13:04.151Z","Priya Patel","Admin","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.21.150","Pune, India","Edge 120 on macOS 14"
"2026-02-08T16:33:46.784Z","Neha Singh","Staff","DELETE","MEMBER","Member account deleted","medium","192.168.21.162","Delhi, India","Firefox 121 on Android 14"
"2026-02-08T16:15:37.986Z","Priya Patel","Admin","CREATE","MEMBER","New member registration: John Doe","low","192.168.204.235","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-08T16:00:44.563Z","Priya Patel","Admin","LOGIN","USER","User logged in successfully","info","192.168.36.46","Mumbai, India","Chrome 120 on Windows 11"
"2026-02-08T11:48:48.914Z","Amit Kumar","Trainer","LOGOUT","USER","User logged out","info","192.168.153.199","Chennai, India","Chrome 120 on Windows 11"
"2026-02-08T11:30:04.616Z","Neha Singh","Staff","UPDATE","MEMBER","Member profile updated","low","192.168.35.88","Pune, India","Firefox 121 on Android 14"
"2026-02-08T10:37:20.307Z","Amit Kumar","Trainer","SECURITY_ALERT","SECURITY","Multiple failed login attempts detected","critical","192.168.49.113","Delhi, India","Edge 120 on macOS 14"
"2026-02-08T06:45:01.079Z","Neha Singh","Staff","REFUND_ISSUED","PAYMENT","Refund of ₹2,500 processed","medium","192.168.214.147","Chennai, India","Chrome 120 on Windows 11"
"2026-02-08T05:18:07.268Z","Priya Patel","Admin","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.243.170","Bangalore, India","Edge 120 on macOS 14"
"2026-02-08T03:59:15.258Z","Amit Kumar","Trainer","REFUND_ISSUED","PAYMENT","Refund of ₹2,500 processed","medium","192.168.106.45","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-08T03:11:46.192Z","Rahul Sharma","Owner","SECURITY_ALERT","SECURITY","Multiple failed login attempts detected","critical","192.168.210.16","Pune, India","Chrome 120 on Windows 11"
"2026-02-07T19:52:41.928Z","Amit Kumar","Trainer","DELETE","MEMBER","Member account deleted","medium","192.168.166.98","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-07T19:44:39.152Z","Priya Patel","Admin","CREATE","MEMBER","New member registration: John Doe","low","192.168.66.166","Chennai, India","Chrome 120 on Windows 11"
"2026-02-07T19:39:27.243Z","Priya Patel","Admin","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.173.156","Bangalore, India","Firefox 121 on Android 14"
"2026-02-07T14:55:22.255Z","Rahul Sharma","Owner","CREATE","MEMBER","New member registration: John Doe","low","192.168.201.40","Mumbai, India","Safari 17 on iOS 17"
"2026-02-07T14:20:28.947Z","Neha Singh","Staff","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.115.52","Delhi, India","Safari 17 on iOS 17"
"2026-02-07T14:12:02.133Z","Amit Kumar","Trainer","UPDATE","MEMBER","Member profile updated","low","192.168.106.15","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-07T14:00:20.523Z","Priya Patel","Admin","LOGOUT","USER","User logged out","info","192.168.40.246","Mumbai, India","Chrome 120 on Windows 11"
"2026-02-07T12:32:08.426Z","Priya Patel","Admin","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.107.91","Mumbai, India","Firefox 121 on Android 14"
"2026-02-07T10:27:22.292Z","Vikram Reddy","Manager","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.95.236","Pune, India","Firefox 121 on Android 14"
"2026-02-07T07:25:03.994Z","Amit Kumar","Trainer","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.184.41","Pune, India","Safari 17 on iOS 17"
"2026-02-07T07:19:54.038Z","Vikram Reddy","Manager","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.229.124","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-07T06:25:50.492Z","Rahul Sharma","Owner","UPDATE","MEMBER","Member profile updated","low","192.168.163.221","Delhi, India","Edge 120 on macOS 14"
"2026-02-07T04:23:15.187Z","Amit Kumar","Trainer","SETTINGS_CHANGE","SETTINGS","Notification settings updated","low","192.168.53.214","Delhi, India","Safari 17 on iOS 17"
"2026-02-06T22:03:34.645Z","Vikram Reddy","Manager","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.185.225","Pune, India","Safari 17 on iOS 17"
"2026-02-06T21:59:32.114Z","Priya Patel","Admin","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.232.149","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-06T21:56:56.147Z","Neha Singh","Staff","REFUND_ISSUED","PAYMENT","Refund of ₹2,500 processed","medium","192.168.84.216","Mumbai, India","Firefox 121 on Android 14"
"2026-02-06T20:36:33.556Z","Rahul Sharma","Owner","SECURITY_ALERT","SECURITY","Multiple failed login attempts detected","critical","192.168.253.179","Delhi, India","Chrome 120 on Windows 11"
"2026-02-06T19:28:33.784Z","Neha Singh","Staff","DELETE","MEMBER","Member account deleted","medium","192.168.24.168","Mumbai, India","Chrome 120 on Windows 11"
"2026-02-06T19:16:22.212Z","Vikram Reddy","Manager","DELETE","MEMBER","Member account deleted","medium","192.168.240.130","Chennai, India","Firefox 121 on Android 14"
"2026-02-06T14:18:13.102Z","Priya Patel","Admin","PASSWORD_CHANGE","SECURITY","User password changed","medium","192.168.11.65","Chennai, India","Firefox 121 on Android 14"
"2026-02-06T11:49:03.436Z","Neha Singh","Staff","LOGIN","USER","User logged in successfully","info","192.168.154.167","Chennai, India","Edge 120 on macOS 14"
"2026-02-06T07:57:48.752Z","Priya Patel","Admin","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.237.52","Mumbai, India","Firefox 121 on Android 14"
"2026-02-06T06:52:56.978Z","Neha Singh","Staff","DELETE","MEMBER","Member account deleted","medium","192.168.185.204","Mumbai, India","Chrome 120 on Windows 11"
"2026-02-06T02:47:35.815Z","Priya Patel","Admin","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.138.22","Delhi, India","Chrome 120 on Windows 11"
"2026-02-06T01:05:59.565Z","Neha Singh","Staff","BACKUP_CREATED","SYSTEM","Automated backup completed successfully","info","192.168.184.212","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-05T20:31:44.692Z","Rahul Sharma","Owner","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.112.145","Chennai, India","Chrome 120 on Windows 11"
"2026-02-05T18:40:08.316Z","Amit Kumar","Trainer","LOGIN","USER","User logged in successfully","info","192.168.196.35","Chennai, India","Chrome 120 on Windows 11"
"2026-02-05T15:57:25.854Z","Amit Kumar","Trainer","SETTINGS_CHANGE","SETTINGS","Notification settings updated","low","192.168.94.80","Pune, India","Safari 17 on iOS 17"
"2026-02-05T15:17:44.712Z","Rahul Sharma","Owner","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.159.140","Delhi, India","Safari 17 on iOS 17"
"2026-02-05T13:49:49.166Z","Priya Patel","Admin","DELETE","MEMBER","Member account deleted","medium","192.168.68.163","Mumbai, India","Chrome 120 on Windows 11"
"2026-02-05T13:35:09.039Z","Rahul Sharma","Owner","CREATE","MEMBER","New member registration: John Doe","low","192.168.85.141","Chennai, India","Chrome 120 on Windows 11"
"2026-02-05T11:47:33.735Z","Neha Singh","Staff","PASSWORD_CHANGE","SECURITY","User password changed","medium","192.168.33.199","Delhi, India","Firefox 121 on Android 14"
"2026-02-05T10:10:41.209Z","Amit Kumar","Trainer","SETTINGS_CHANGE","SETTINGS","Notification settings updated","low","192.168.98.97","Mumbai, India","Edge 120 on macOS 14"
"2026-02-05T09:08:46.833Z","Priya Patel","Admin","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.26.212","Pune, India","Safari 17 on iOS 17"
"2026-02-05T05:31:16.191Z","Amit Kumar","Trainer","LOGIN","USER","User logged in successfully","info","192.168.131.155","Pune, India","Chrome 120 on Windows 11"
"2026-02-05T05:23:01.670Z","Amit Kumar","Trainer","SETTINGS_CHANGE","SETTINGS","Notification settings updated","low","192.168.91.204","Delhi, India","Edge 120 on macOS 14"
"2026-02-05T03:59:27.906Z","Rahul Sharma","Owner","UPDATE","MEMBER","Member profile updated","low","192.168.182.146","Mumbai, India","Firefox 121 on Android 14"
"2026-02-05T03:22:51.321Z","Vikram Reddy","Manager","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.26.77","Pune, India","Chrome 120 on Windows 11"
"2026-02-05T01:31:11.729Z","Vikram Reddy","Manager","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.51.188","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-04T23:15:24.402Z","Vikram Reddy","Manager","MEMBER_CHECKIN","MEMBER","Member check-in at Main Entrance","info","192.168.101.18","Mumbai, India","Edge 120 on macOS 14"
"2026-02-04T22:31:18.704Z","Neha Singh","Staff","LOGIN","USER","User logged in successfully","info","192.168.144.218","Chennai, India","Firefox 121 on Android 14"
"2026-02-04T18:53:07.731Z","Rahul Sharma","Owner","DELETE","MEMBER","Member account deleted","medium","192.168.153.54","Pune, India","Safari 17 on iOS 17"
"2026-02-04T18:02:08.666Z","Neha Singh","Staff","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.207.226","Delhi, India","Firefox 121 on Android 14"
"2026-02-04T17:46:20.184Z","Priya Patel","Admin","LOGOUT","USER","User logged out","info","192.168.145.92","Mumbai, India","Safari 17 on iOS 17"
"2026-02-04T14:46:27.769Z","Rahul Sharma","Owner","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.97.6","Bangalore, India","Edge 120 on macOS 14"
"2026-02-04T13:30:09.585Z","Amit Kumar","Trainer","EMAIL_SENT","NOTIFICATION","Bulk email sent to 150 members","info","192.168.43.120","Chennai, India","Edge 120 on macOS 14"
"2026-02-04T13:19:42.329Z","Amit Kumar","Trainer","DELETE","MEMBER","Member account deleted","medium","192.168.43.41","Pune, India","Chrome 120 on Windows 11"
"2026-02-04T09:38:30.002Z","Vikram Reddy","Manager","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.111.32","Delhi, India","Safari 17 on iOS 17"
"2026-02-04T09:11:23.774Z","Rahul Sharma","Owner","LOGIN_FAILED","SECURITY","Failed login attempt - invalid password","high","192.168.193.27","Mumbai, India","Safari 17 on iOS 17"
"2026-02-04T08:14:39.134Z","Rahul Sharma","Owner","PAYMENT_RECEIVED","PAYMENT","Payment of ₹5,000 received for Premium membership","info","192.168.75.176","Mumbai, India","Edge 120 on macOS 14"
"2026-02-04T06:23:26.886Z","Vikram Reddy","Manager","MEMBER_CHECKIN","MEMBER","Member check-in at Main Entrance","info","192.168.96.42","Bangalore, India","Chrome 120 on Windows 11"
"2026-02-04T04:08:50.854Z","Vikram Reddy","Manager","PASSWORD_CHANGE","SECURITY","User password changed","medium","192.168.81.73","Delhi, India","Firefox 121 on Android 14"
"2026-02-04T04:03:47.486Z","Priya Patel","Admin","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.24.92","Chennai, India","Chrome 120 on Windows 11"
"2026-02-03T21:45:14.452Z","Vikram Reddy","Manager","DELETE","MEMBER","Member account deleted","medium","192.168.106.217","Bangalore, India","Edge 120 on macOS 14"
"2026-02-03T21:37:26.543Z","Vikram Reddy","Manager","UPDATE","MEMBER","Member profile updated","low","192.168.108.215","Chennai, India","Edge 120 on macOS 14"
"2026-02-03T21:01:33.205Z","Vikram Reddy","Manager","LOGIN","USER","User logged in successfully","info","192.168.237.132","Chennai, India","Chrome 120 on Windows 11"
"2026-02-03T20:50:30.823Z","Amit Kumar","Trainer","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.196.78","Mumbai, India","Firefox 121 on Android 14"
"2026-02-03T19:51:59.853Z","Rahul Sharma","Owner","MEMBERSHIP_EXPIRED","MEMBERSHIP","Membership expired for member #1234","medium","192.168.216.165","Mumbai, India","Edge 120 on macOS 14"
"2026-02-03T18:54:12.473Z","Neha Singh","Staff","LOGOUT","USER","User logged out","info","192.168.149.40","Pune, India","Firefox 121 on Android 14"
"2026-02-03T18:37:36.476Z","Priya Patel","Admin","PAYMENT_RECEIVED","PAYMENT","Payment of ₹5,000 received for Premium membership","info","192.168.233.5","Mumbai, India","Safari 17 on iOS 17"
"2026-02-03T16:41:39.590Z","Amit Kumar","Trainer","CREATE","CLASS","New class "Morning Yoga" created","low","192.168.214.131","Pune, India","Firefox 121 on Android 14"
"2026-02-03T16:34:06.858Z","Vikram Reddy","Manager","REFUND_ISSUED","PAYMENT","Refund of ₹2,500 processed","medium","192.168.151.179","Bangalore, India","Safari 17 on iOS 17"
"2026-02-03T14:11:35.097Z","Rahul Sharma","Owner","PERMISSION_CHANGE","SECURITY","User role changed from Staff to Trainer","high","192.168.132.221","Chennai, India","Safari 17 on iOS 17"
"2026-02-03T11:43:17.499Z","Neha Singh","Staff","PASSWORD_CHANGE","SECURITY","User password changed","medium","192.168.102.114","Pune, India","Safari 17 on iOS 17"
"2026-02-03T09:42:20.565Z","Priya Patel","Admin","LOGOUT","USER","User logged out","info","192.168.30.147","Mumbai, India","Safari 17 on iOS 17"
"2026-02-03T09:35:09.793Z","Neha Singh","Staff","CREATE","MEMBER","New member registration: John Doe","low","192.168.60.238","Chennai, India","Edge 120 on macOS 14"
